speed,label,anchor_method,discarded_pre_anchor_samples,requested_speed,observed_change_samples,matched_change_samples,effective_speed,speed_error_pct,fit_r2,timing_resid_std_wall_s,timing_resid_max_wall_s,timing_resid_std_trace_s,timing_resid_max_trace_s,wall_span_s,trace_span_covered_s,sample_quantum_trace_s,wall_seconds_per_tick,samples_per_tick,trace_seconds_per_sample,samples_observed,gt_tick_states,gt_tick_states_observed,tick_states_missed_pct,nyquist_ok,desired_mae_pods,desired_total_mae_pods,desired_total_nmae_pct,desired_exact_match_pct,desired_max_err_pods,convergence_mae_pods,convergence_nmae_pct,convergence_max_deficit_pods,converged_samples_pct,mean_desired_pods,mean_running_pods,gt_peak_pods,observed_desired_peak_pods,observed_running_peak_pods,desired_peak_capture_pct,running_peak_capture_pct,pods_pending_max,pods_pending_mean,pods_failed_max,pods_failed_mean,pods_unknown_max,pods_unknown_mean,pods_succeeded_max,pods_succeeded_mean,pods_pending_pct_mean,occupied_nodes_max,occupied_nodes_mean,gt_nodes_max,node_occupancy_peak_pct,sched_scheduled_per_s_mean,sched_scheduled_per_s_max,sched_unschedulable_per_s_mean,sched_unschedulable_per_s_max,sched_scheduled_total,sched_unschedulable_total,sched_pending_max,sched_pending_mean,sched_pending_active_max,sched_pending_backoff_max,sched_pending_gated_max,sched_pending_unschedulable_max,sched_latency_mean_ms,sched_latency_p95_ms,sched_latency_max_ms,sched_latency_overall_ms,sched_incoming_per_s_mean,sched_incoming_per_s_max,sched_preemption_total,cpu_kwok-controller_mean_cores,cpu_kwok-controller_max_cores,cpu_kube-state-metrics_mean_cores,cpu_kube-state-metrics_max_cores,cpu_prometheus_mean_cores,cpu_prometheus_max_cores,cpu_coredns_mean_cores,cpu_coredns_max_cores,cpu_control_plane_total_mean_cores,log_entries_processed,log_scale_commands,log_nodes_created,log_nodes_deleted,log_node_create_excess,log_errors,log_apply_failures,log_delete_failures,log_error_lines,pod_surplus_pct,pod_churn_per_wall_s
20.0,20x,tick0-state,0,20.0,30,28,19.999999999999993,-3.3306690738754696e-14,1.0,9.308494856272692e-14,3.410605131648481e-13,1.8616989712545386e-12,6.821210263296962e-12,840.0,16800.0,600.0,15.0,0.5,600.0,30,59,29,50.847457627118644,False,0.0,0.0,0.0,100.0,0.0,13.517241379310345,15.229215229215228,-0.0,58.620689655172406,88.75862068965517,102.27586206896552,265.0,265.0,266.0,100.0,100.37735849056604,0.0,0.0,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,38.0,16.033333333333335,34.0,111.76470588235294,1.3103448275862069,8.733333333333333,0.0,0.0,1127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.315558792100795,18.05528459999989,22.981615690909088,7.381677236607152,0.328448275862069,8.733333333333333,0.0,0.006547106896551724,0.027689533333333335,0.003684441379310345,0.01184843333333334,0.020463306896551722,0.07554296666666667,0.0012874022988505745,0.0018985333333333336,0.03198225747126437,61,145,101,98,0,0,0,0,,15.229215229215232,1.9535714285714285
15.0,15x,tick0-state,11,15.0,40,39,15.01566891739088,0.10445944927253148,0.9997963076484626,4.98502426148155,5.7072163173975525,74.77536392222325,85.60824476096329,1170.0,17700.0,450.0,20.0,0.6666666666666666,450.0,40,59,40,32.20338983050848,False,2.6666666666666665,7.4,8.81477069684336,62.5,34.0,10.58974358974359,12.100791092880163,-0.0,61.53846153846154,87.51282051282051,98.1025641025641,265.0,265.0,266.0,100.0,100.37735849056604,1.0,0.025,1.0,0.025,0.0,0.0,0.0,0.0,0.022321428571428572,38.0,18.0,34.0,111.76470588235294,0.7160000000000001,8.333333333333334,0.0,0.0,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.447017620601105,25.460957314285793,34.45985117999989,12.877895214482084,0.179,8.333333333333334,0.0,0.007938574829931972,0.03009993333333334,0.004324141333333333,0.013097966666666657,0.04333990533333336,0.10514843333333349,0.0026108259999999984,0.003832033333333366,0.058213447496598666,61,145,98,98,-3,0,0,0,,12.100791092880158,1.4025641025641025
10.0,10x,tick0-state,11,10.0,59,57,9.999999999999998,-2.220446049250313e-14,1.0,8.950539378665098e-14,6.821210263296962e-13,8.950539378665097e-13,6.821210263296962e-12,1770.0,17700.0,300.0,30.0,1.0,300.0,60,59,58,1.6949152542372836,False,0.0,0.0,0.0,100.0,0.0,12.203389830508474,13.774631719915822,125.0,66.10169491525424,88.59322033898304,92.9322033898305,265.0,265.0,261.0,100.0,98.49056603773585,0.0,0.0,1.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,37.0,17.0,34.0,108.82352941176471,0.59,6.2,0.0,0.0,1148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.878552760649713,23.528432487850626,58.56560599999483,10.842291391114987,0.1475,6.2,0.0,0.006306670476190475,0.028423900000000005,0.0033399771428571437,0.011182700000000078,0.04354202142857137,0.16625073333333137,0.002127552857142857,0.003526333333333298,0.05531622190476185,61,145,98,98,-3,0,0,0,,4.8976468337478485,0.9271186440677966
5.0,5x,tick0-state,11,5.0,59,57,4.999999999999999,-2.220446049250313e-14,1.0,1.7901078757330195e-13,1.3642420526593924e-12,8.950539378665097e-13,6.821210263296962e-12,3540.0,17700.0,150.0,60.0,2.0,150.0,120,59,58,1.6949152542372836,True,0.0,0.0,0.0,100.0,0.0,6.5210084033613445,7.413776631317473,121.0,82.35294117647058,87.95798319327731,90.68067226890756,265.0,265.0,265.0,100.0,100.0,0.0,0.0,1.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,37.0,15.758333333333333,34.0,108.82352941176471,0.31769230769230766,6.2,0.0,0.0,1204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.070265404495833,28.028012561197855,58.81258899999153,11.472328488372032,0.07942307692307692,6.2,0.0,0.005900814102564102,0.030589733333333296,0.0030420082051282045,0.012342366666666807,0.058123058974358974,0.1468769666666641,0.0027123228205128197,0.00447810000000004,0.0697782041025641,61,145,98,98,-3,0,0,0,,3.0954428202923268,0.4635593220338983
1.0,1x,tick0-state,11,1.0,59,57,0.9999999999999996,-4.440892098500626e-14,1.0,2.7022924624021265e-12,1.0913936421275139e-11,2.7022924624021265e-12,1.0913936421275139e-11,17700.0,17700.0,30.0,300.0,10.0,30.0,600,59,58,1.6949152542372836,True,0.0,0.0,0.0,100.0,0.0,0.6894824707846411,0.7883635253020788,2.0,97.66277128547578,87.45742904841403,88.13689482470785,265.0,265.0,265.0,100.0,100.0,0.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0,0.0,37.0,14.256666666666666,34.0,108.82352941176471,0.0678688524590164,6.133333333333334,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.286132843098581,9.34333877500026,15.164423000001648,4.563793985294146,0.016967213114754097,6.133333333333334,0.0,0.0021831837158469945,0.011211533333333327,0.0010346099999999996,0.006833333333333513,0.029834152459016394,0.13127103333333334,0.0011337445355191255,0.0036169333333333498,0.034185690710382514,61,145,97,97,-4,2,1,1,"[ERROR] Failed to apply node kwok-node-0035: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | [ERROR] Failed to delete node kwok-node-0035: (404)",0.7769103021741941,0.09271186440677966
