label,timestamp,trace_time,desired_total,running_total,gap
1x,1788156602,17370,91,91,0
1x,1788156632,17400,67,67,0
1x,1788156662,17430,67,67,0
1x,1788156692,17460,67,67,0
1x,1788156722,17490,67,67,0
1x,1788156752,17520,67,67,0
1x,1788156782,17550,67,67,0
1x,1788156812,17580,67,67,0
1x,1788156842,17610,67,67,0
1x,1788156872,17640,67,67,0
1x,1788156902,17670,67,67,0
1x,1788156932,17700,48,48,0
1x,1788156962,17730,48,48,0
1x,1788156992,17760,48,48,0
1x,1788157022,17790,48,48,0
1x,1788157052,17820,48,48,0
1x,1788157082,17850,48,48,0
1x,1788157112,17880,48,48,0
1x,1788157142,17910,48,48,0
1x,1788157172,17940,48,48,0
1x,1788157202,17970,48,48,0
